,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,75,ZA,1567574692,93,14.99,59.0,-33.93,18.42
1,Castro,0,CL,1567574879,80,5.82,35.6,-42.48,-73.76
2,Tigre,0,AR,1567574879,52,4.7,44.6,-34.42,-58.58
3,Caledon,90,CA,1567574866,78,14.99,73.4,43.88,-79.86
4,Leningradskiy,87,RU,1567574788,86,9.04,37.02,69.38,178.42
5,Khatanga,29,RU,1567574845,46,14.61,41.88,71.98,102.47
6,Turukhansk,22,RU,1567574881,58,6.33,55.92,65.8,87.96
7,Puerto Ayora,86,EC,1567574792,97,1.99,69.01,-0.74,-90.35
8,Ancud,0,CL,1567574868,80,5.82,35.6,-41.87,-73.83
9,Ayan,0,IR,1567574881,53,5.91,58.44,38.23,44.7
10,Rikitea,100,PF,1567574584,84,14.25,72.66,-23.12,-134.97
11,Dhidhdhoo,100,MV,1567574882,79,12.12,82.02,6.88,73.1
12,Aklavik,75,CA,1567574882,71,3.36,53.6,68.22,-135.01
13,Mar del Plata,6,AR,1567574640,72,3.0,29.82,-46.43,-67.52
14,Bredasdorp,99,ZA,1567574623,93,4.7,54.0,-34.53,20.04
15,Bluff,43,AU,1567574883,12,2.33,86.88,-23.58,149.07
16,Alora,75,ZA,1567574883,93,14.99,59.0,-33.94,18.67
17,Arraial do Cabo,98,BR,1567574883,94,4.36,69.96,-22.97,-42.02
18,Busselton,96,AU,1567574862,39,21.85,60.01,-33.64,115.35
19,Saskylakh,100,RU,1567574884,89,10.4,42.24,71.97,114.09
20,Hobart,40,AU,1567574873,36,14.99,60.8,-42.88,147.33
21,Pundaguitan,100,PH,1567574884,82,11.39,82.02,6.37,126.17
22,Taltal,16,CL,1567574885,85,2.84,45.66,-25.41,-70.49
23,Qaanaaq,1,GL,1567574885,59,5.12,28.38,77.48,-69.36
24,Ler,20,NO,1567574885,87,13.87,48.2,63.2,10.3
25,Mataura,100,NZ,1567574846,85,1.99,52.0,-46.19,168.86
26,Syzran,0,RU,1567574886,71,8.55,58.26,53.16,48.47
27,Vaini,75,IN,1567574634,94,9.17,75.2,15.34,74.49
28,Kurilsk,0,RU,1567574886,82,11.92,60.78,45.23,147.88
29,Port Alfred,97,ZA,1567574830,77,5.01,61.0,-33.59,26.89
30,Pevek,15,RU,1567574887,81,11.61,38.64,69.7,170.27
31,Albany,90,US,1567574840,68,9.17,70.0,42.65,-73.75
32,Hermanus,100,ZA,1567574867,98,1.01,55.0,-34.42,19.24
33,Tarija,59,BO,1567574888,63,4.56,40.98,-21.53,-64.73
34,Nanortalik,100,GL,1567574888,92,5.48,46.74,60.14,-45.24
35,Port Elizabeth,40,US,1567574780,93,4.45,73.0,39.31,-74.98
36,Satipo,73,PE,1567574889,91,1.59,38.82,-11.26,-74.64
37,Cherskiy,81,RU,1567574889,39,3.74,52.32,68.75,161.3
38,Hilo,90,US,1567574621,65,4.7,82.4,19.71,-155.08
39,Coihaique,20,CL,1567574806,74,5.44,30.2,-45.58,-72.07
40,Ferkessedougou,95,CI,1567574890,98,3.78,69.24,9.6,-5.2
41,Norman Wells,75,CA,1567574890,93,4.7,48.2,65.28,-126.83
42,Jamestown,19,AU,1567574701,45,4.65,70.5,-33.21,138.6
43,Qandala,0,SO,1567574891,48,24.29,91.74,11.47,49.87
44,Ushuaia,40,AR,1567574596,64,25.28,37.4,-54.81,-68.31
45,Tecolutla,97,MX,1567574891,96,4.83,61.32,17.31,-98.74
46,Daru,89,PG,1567574856,74,10.33,75.18,-9.07,143.21
47,Kita,75,JP,1567574892,83,10.29,82.99,35.76,139.74
48,Ardesen,20,TR,1567574892,82,14.99,68.0,41.19,40.99
49,Cabras,100,CO,1567574892,95,0.69,57.99,5.5,-75.6
50,Cabedelo,20,BR,1567574893,100,3.36,69.8,-6.97,-34.84
51,Clyde River,90,CA,1567574893,93,6.93,41.0,70.47,-68.59
52,Nikolskoye,90,RU,1567574893,93,4.47,55.99,59.7,30.79
53,Salalah,90,OM,1567574893,94,5.82,78.8,17.01,54.1
54,Glenwood Springs,40,US,1567574894,26,5.82,69.8,39.55,-107.33
55,Tuatapere,100,NZ,1567574894,85,1.99,52.0,-46.13,167.69
56,Qaqortoq,100,GL,1567574894,87,3.36,44.6,60.72,-46.03
57,Punta Arenas,0,CL,1567574888,80,9.17,33.8,-53.16,-70.91
58,Sao Filipe,32,CV,1567574895,84,7.43,80.4,14.9,-24.5
59,General Pico,0,AR,1567574895,74,7.76,31.08,-35.66,-63.75
60,Tuktoyaktuk,20,CA,1567574820,81,6.93,44.6,69.44,-133.03
61,Thompson,90,CA,1567574895,93,4.7,42.8,55.74,-97.86
62,Nizhnetroitskiy,48,RU,1567574896,80,7.87,53.22,54.34,53.68
63,Villa Bruzual,33,VE,1567574896,95,2.93,66.9,9.33,-69.12
64,Garissa,55,KE,1567574897,54,18.5,80.58,-0.46,39.64
65,Masyaf,20,SY,1567574897,65,4.7,80.6,35.06,36.34
66,Yerbogachen,25,RU,1567574897,44,13.02,60.96,61.28,108.01
67,Kamenka,100,MD,1567574897,88,1.01,55.99,48.03,28.7
68,Mujiayingzi,32,CN,1567574898,24,9.75,82.92,42.12,118.78
69,Sayan,20,ID,1567574898,69,12.75,82.4,-8.51,115.24
70,Ribeira Grande,99,PT,1567574886,69,10.09,68.88,38.52,-28.7
71,Raichur,100,IN,1567574898,86,7.27,75.9,16.2,77.36
72,Brae,69,GB,1567574899,93,11.41,51.8,60.4,-1.35
73,Lagoa,0,PT,1567574899,69,5.82,75.0,37.14,-8.45
74,Menongue,15,AO,1567574899,17,2.21,61.5,-14.66,17.68
75,Tasiilaq,100,GL,1567574718,75,6.93,41.0,65.61,-37.64
76,Yellowknife,75,CA,1567574887,75,6.93,46.4,62.45,-114.38
77,Victoria,75,BN,1567574627,74,5.82,89.6,5.28,115.24
78,Shingu,75,JP,1567574900,70,14.99,86.0,33.72,135.99
79,Mount Gambier,75,AU,1567574901,72,13.87,59.0,-37.83,140.78
80,Husavik,8,CA,1567574901,92,8.25,46.0,50.56,-96.99
81,Chokurdakh,33,RU,1567574901,47,5.66,56.1,70.62,147.9
82,Mehamn,0,NO,1567574901,71,20.8,51.8,71.03,27.85
83,Klaksvik,100,FO,1567574902,70,24.16,46.4,62.23,-6.59
84,Barrow,2,AR,1567574857,79,8.52,33.96,-38.31,-60.23
85,Nouadhibou,95,MR,1567574902,61,14.99,77.0,20.93,-17.03
86,Kapaa,40,US,1567574903,69,11.41,82.4,22.08,-159.32
87,Pisco,90,PE,1567574903,30,9.17,71.6,-13.71,-76.2
88,Kodiak,75,US,1567574903,83,6.93,75.2,39.95,-94.76
89,Wuda,0,CN,1567574904,37,20.47,78.42,39.5,106.72
90,Souillac,0,FR,1567574904,81,4.45,54.0,45.6,-0.6
91,Huarmey,1,PE,1567574904,93,8.59,59.7,-10.07,-78.15
92,Pimenteiras,32,BR,1567574905,77,7.29,71.22,-6.24,-41.42
93,Port Lincoln,59,AU,1567574905,81,10.58,58.44,-34.72,135.86
94,Novoagansk,100,RU,1567574905,79,4.54,53.04,61.94,76.66
95,Shubarshi,71,KZ,1567574757,46,8.03,60.42,48.59,57.19
96,Takoradi,54,GH,1567574906,93,2.08,73.38,4.89,-1.75
